DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-001454,C10_LARGE_INTESTINE,NA,Male,71,colorectal,Y+,X,Male_XY,0.638644102,0.756639394,-7.111384765,NA,NA
ACH-001458,C75_LARGE_INTESTINE,NA,Male,56,colorectal,NA,X,NA,0.711031119,0.70311627,-1.188696193,NA,NA
ACH-001459,C80_LARGE_INTESTINE,NA,Male,69,colorectal,NA,X,NA,0.672719888,0.615838754,-0.874273475,NA,NA
ACH-001460,C84_LARGE_INTESTINE,NA,Male,67,colorectal,Y-,X,Male_X0,0.003120035,0.716672615,4.315584301,NA,NA
ACH-001461,C99_LARGE_INTESTINE,NA,Male,69,colorectal,Y-,X,Male_X0,0.00256708,0.685512943,4.44593619,NA,NA
ACH-001484,CI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Female,47,blood,Y-,XX,Female_XXhet,2.27E-07,0.909819616,4.532560153,NA,NA
ACH-001485,CII_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Female,47,blood,Y-,XX,Female_XXhet,1.08E-09,1.091519206,4.527828563,NA,NA
ACH-001494,EGI1_BILIARY_TRACT,906853,Male,52,bile_duct,Y+,X,Male_XY,0.714752884,0.394092673,-7.457003963,NA,NA
ACH-001495,EMTOKA_ENDOMETRIUM,NA,Female,64,uterus,Y-,X,Female_X0,1.47E-06,0.671671469,4.553227283,NA,NA
ACH-001496,ESO26_OESOPHAGUS,1503366,Male,56,esophagus,Y+,X,Male_XY,0.614196602,0.592956037,-9.116818631,NA,NA
ACH-001498,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1297449,Female,NA,lymphocyte,Y-,XX,Female_XXhet,3.95E-06,0.924877624,4.553227283,NA,NA
ACH-001500,FLO1_OESOPHAGUS,1503361,Male,NA,esophagus,Y-,X,Male_X0,4.68E-07,0.647703579,4.314034642,NA,NA
ACH-001509,H357_UPPER_AERODIGESTIVE_TRACT,NA,Male,74,upper_aerodigestive,Y+,X,Male_XY,0.359414875,0.592639177,-5.10913614,NA,NA
ACH-001510,H376_UPPER_AERODIGESTIVE_TRACT,NA,Female,40,upper_aerodigestive,Y-,XX,Female_XXhet,1.59E-05,1.025550547,4.553227283,NA,NA
